agent_id,name,category_or_expert_in,aaf_edit_url,aaf_public_url,short_description,tools,visibility_status,public_safe_status,qa_status,duplicate_possible,notes
4ae83696-cde8-4d12-932e-e809acf11073,"InvestIQ","investigation planning, scoping, and source mapping","https://chat.actualarmor.com/agent/4ae83696-cde8-4d12-932e-e809acf11073","UNKNOWN","Helps define investigation scope, hypotheses, source plans, and review checkpoints for human-led workflows.","webSearch, webContent, http, createTable",private,INTERNAL_OR_TEST,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
496339e8-b817-4948-85a1-16c3dcb54bd8,"ChronoTrace","timeline reconstruction and source organization","https://chat.actualarmor.com/agent/496339e8-b817-4948-85a1-16c3dcb54bd8","UNKNOWN","Reconstructs event timelines from user-provided and public-safe sources.","webSearch, webContent, http",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
9a87f236-c818-40e9-a733-56d61d895871,"Crisis Dashboard Reporter","Crisis Intelligence Analyst","https://chat.actualarmor.com/agent/9a87f236-c818-40e9-a733-56d61d895871","UNKNOWN","Provides rapid intelligence briefings on global crises from the last 24 hours, triaging reports into verified, unconfirmed, and false categories.","createTable, webSearch, webContent, http, apidojo_tweet_scraper",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
33a357de-2fd6-4d53-8b23-c58d264f6cd0,"Learning Report Generator","Digital Media Forensics Analyst","https://chat.actualarmor.com/agent/33a357de-2fd6-4d53-8b23-c58d264f6cd0","UNKNOWN","Conducts deep forensic analysis on the lifecycle of media narratives, tracing origins, spread, and debunking efforts to create structured educational reports.","createTable, webSearch, webContent, http, video-transcribe, apify_facebook_posts_scraper, clockworks_tiktok_scraper, apidojo_tweet_scraper",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
e3b43a55-2d1e-49b3-9823-d981f1e994de,"Student Claim Checker","Expert Digital Literacy and Media Investigator","https://chat.actualarmor.com/agent/e3b43a55-2d1e-49b3-9823-d981f1e994de","UNKNOWN","An expert digital literacy mentor guiding users step-by-step to verify online claims using investigative techniques and fact-checking tools.","webSearch, webContent, video-transcribe, apify_instagram_scraper, apify_facebook_posts_scraper, streamers_youtube_scraper, apidojo_tweet_scraper",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
5a1066cd-ad7f-455d-a0a9-80c675dbf5f8,"Financial Counter-Narrative Analyst","Institutional Financial Researcher & Misinformation Debunker","https://chat.actualarmor.com/agent/5a1066cd-ad7f-455d-a0a9-80c675dbf5f8","UNKNOWN","An elite financial researcher dedicated to dismantling market misinformation, rumors, and misleading economic narratives using objective, data-backed analysis.","createTable, webSearch, webContent",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
13962f9a-4f59-4e34-9bc6-da5b85dfd540,"Counter-Messaging Generator","Strategic Communications and Fact-Checking Specialist","https://chat.actualarmor.com/agent/13962f9a-4f59-4e34-9bc6-da5b85dfd540","UNKNOWN","Neutralizes manipulative political narratives by generating calm, factual, and concise counter-messages based on objective research.","webSearch, webContent",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
b1329779-2f12-4006-80c3-af51c9b85d5d,"OSINT War Claim Verifier","OSINT Analyst & Armed Conflict Verification Expert","https://chat.actualarmor.com/agent/b1329779-2f12-4006-80c3-af51c9b85d5d","UNKNOWN","An elite Open-Source Intelligence (OSINT) Analyst agent that critically evaluates and verifies military and battlefield claims using open-source data and strict neutrality.","createBarChart, createTable, webSearch, webContent, http, mini-javascript-execution, python-execution, video-transcribe, apify_facebook_posts_scraper, clockworks_tiktok_scraper, streamers_youtube_scraper, apidojo_tweet_scraper, channels_search, group_info, messages_channel",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
672b5a86-2620-4677-8cd6-8579775f281b,"YouTube Defense Interview Analyst","Media and Propaganda Analyst","https://chat.actualarmor.com/agent/672b5a86-2620-4677-8cd6-8579775f281b","UNKNOWN","Expert Media and Propaganda Analyst specializing in deconstructing YouTube defense and security interviews for factual claims, emotional framing, and propaganda cues.","webSearch, webContent, video-transcribe, streamers_youtube_scraper",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
f1c1d369-82c7-48c4-b4a3-ec3af12093c8,"OSINT Disinformation Analyst","Disinformation Analyst & OSINT Specialist","https://chat.actualarmor.com/agent/f1c1d369-82c7-48c4-b4a3-ec3af12093c8","UNKNOWN","Elite OSINT agent specializing in detecting, tracking, and analyzing coordinated disinformation narratives across public platforms.","createBarChart, createTable, webSearch, webContent, apify_facebook_posts_scraper, apidojo_tweet_scraper, channels_search, messages_channel",readonly,NEEDS_REVIEW,UNKNOWN,NO,"PROMPT_NEEDS_REVIEW"
